Month,Constabulary,Crime type,Longitude,Latitude,Count
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2509,51.8428,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2509,51.8571,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2508,51.8549,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2508,51.8686,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2505,51.8643,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2504,51.83,2
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2499,51.861,2
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2499,51.8625,5
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2499,51.8664,2
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2497,51.8318,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2497,51.8617,2
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2495,51.8378,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2494,51.829,3
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2491,51.8283,2
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2487,51.8725,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2483,51.8609,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2483,51.8662,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2482,51.8648,2
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.248,51.8567,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2478,51.7424,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2478,51.8307,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2477,51.8668,2
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2475,51.9057,2
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2467,51.9059,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2466,51.7489,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2463,51.8557,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2463,51.8648,5
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2461,51.744,2
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.246,51.862,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2458,51.8634,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2458,51.8725,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2457,51.8601,3
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2456,51.7425,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2456,51.8479,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2455,51.8532,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2455,51.8664,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2451,51.7487,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2437,51.7474,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2436,51.8671,2
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2435,51.8378,2
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2434,51.856,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.243,51.8643,3
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.243,51.8663,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2429,51.822,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2429,51.8491,2
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2427,51.8456,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2427,51.8584,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2427,51.8636,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2425,51.8783,1
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2419,51.8651,3
2024-04,Gloucestershire Constabulary,Anti-social behaviour,-2.2418,51.868,1
