Constabulary,Crime type,Longitude,Latitude,Count
Devon & Cornwall Police,Anti-social behaviour,-5.4796,50.2112,11
Devon & Cornwall Police,Anti-social behaviour,-5.4795,50.2122,1
Devon & Cornwall Police,Anti-social behaviour,-5.4794,50.2153,2
Devon & Cornwall Police,Anti-social behaviour,-5.4794,50.2158,2
Devon & Cornwall Police,Anti-social behaviour,-5.4787,50.2163,1
Devon & Cornwall Police,Anti-social behaviour,-5.4786,50.147,3
Devon & Cornwall Police,Anti-social behaviour,-5.4786,50.2111,7
Devon & Cornwall Police,Anti-social behaviour,-5.4784,50.2094,1
Devon & Cornwall Police,Anti-social behaviour,-5.4784,50.2153,3
Devon & Cornwall Police,Anti-social behaviour,-5.478,50.1449,1
Devon & Cornwall Police,Anti-social behaviour,-5.478,50.2098,2
Devon & Cornwall Police,Anti-social behaviour,-5.4771,50.207,1
Devon & Cornwall Police,Anti-social behaviour,-5.4768,50.2076,5
Devon & Cornwall Police,Anti-social behaviour,-5.4764,50.2151,1
Devon & Cornwall Police,Anti-social behaviour,-5.4762,50.2166,1
Devon & Cornwall Police,Anti-social behaviour,-5.475,50.1939,1
Devon & Cornwall Police,Anti-social behaviour,-5.4746,50.1941,9
Devon & Cornwall Police,Anti-social behaviour,-5.4731,50.204,1
Devon & Cornwall Police,Anti-social behaviour,-5.4721,50.1936,2
Devon & Cornwall Police,Anti-social behaviour,-5.4718,50.1234,2
Devon & Cornwall Police,Anti-social behaviour,-5.4706,50.1932,2
Devon & Cornwall Police,Anti-social behaviour,-5.4696,50.1241,1
Devon & Cornwall Police,Anti-social behaviour,-5.4687,50.1242,1
Devon & Cornwall Police,Anti-social behaviour,-5.4682,50.1938,1
Devon & Cornwall Police,Anti-social behaviour,-5.4679,50.1828,1
Devon & Cornwall Police,Anti-social behaviour,-5.4678,50.1975,2
Devon & Cornwall Police,Anti-social behaviour,-5.4677,50.1889,2
Devon & Cornwall Police,Anti-social behaviour,-5.4658,50.1925,1
Devon & Cornwall Police,Anti-social behaviour,-5.4657,50.1609,1
Devon & Cornwall Police,Anti-social behaviour,-5.4651,50.1308,1
Devon & Cornwall Police,Anti-social behaviour,-5.4629,50.191,2
Devon & Cornwall Police,Anti-social behaviour,-5.4622,50.191,1
Devon & Cornwall Police,Anti-social behaviour,-5.4617,50.1553,1
Devon & Cornwall Police,Anti-social behaviour,-5.4611,50.1249,1
Devon & Cornwall Police,Anti-social behaviour,-5.4592,50.1246,1
Devon & Cornwall Police,Anti-social behaviour,-5.459,50.1243,1
Devon & Cornwall Police,Anti-social behaviour,-5.4583,50.1253,2
Devon & Cornwall Police,Anti-social behaviour,-5.4578,50.1964,1
Devon & Cornwall Police,Anti-social behaviour,-5.4568,50.1245,1
Devon & Cornwall Police,Anti-social behaviour,-5.4456,50.1702,3
Devon & Cornwall Police,Anti-social behaviour,-5.4436,50.1756,2
Devon & Cornwall Police,Anti-social behaviour,-5.4433,50.1773,1
Devon & Cornwall Police,Anti-social behaviour,-5.443,50.1778,2
Devon & Cornwall Police,Anti-social behaviour,-5.4427,50.1767,1
Devon & Cornwall Police,Anti-social behaviour,-5.4425,50.1134,1
Devon & Cornwall Police,Anti-social behaviour,-5.4407,50.1828,1
Devon & Cornwall Police,Anti-social behaviour,-5.4405,50.185,1
Devon & Cornwall Police,Anti-social behaviour,-5.4384,50.186,1
Devon & Cornwall Police,Anti-social behaviour,-5.4381,50.1655,1
Devon & Cornwall Police,Anti-social behaviour,-5.4374,50.1659,2
Devon & Cornwall Police,Anti-social behaviour,-5.4373,50.1828,2
Devon & Cornwall Police,Anti-social behaviour,-5.4365,50.1238,1
Devon & Cornwall Police,Anti-social behaviour,-5.4363,50.1228,1
Devon & Cornwall Police,Anti-social behaviour,-5.4359,50.1654,1
Devon & Cornwall Police,Anti-social behaviour,-5.4354,50.1649,1
Devon & Cornwall Police,Anti-social behaviour,-5.4344,50.161,1
Devon & Cornwall Police,Anti-social behaviour,-5.4325,50.1263,2
Devon & Cornwall Police,Anti-social behaviour,-5.4323,50.1927,6
Devon & Cornwall Police,Anti-social behaviour,-5.432,50.1654,3
Devon & Cornwall Police,Anti-social behaviour,-5.4279,50.1963,3
Devon & Cornwall Police,Anti-social behaviour,-5.427,50.1638,1
Devon & Cornwall Police,Anti-social behaviour,-5.4257,50.1899,1
Devon & Cornwall Police,Anti-social behaviour,-5.4253,50.1765,1
Devon & Cornwall Police,Anti-social behaviour,-5.4248,50.1821,1
Devon & Cornwall Police,Anti-social behaviour,-5.4244,50.1276,1
Devon & Cornwall Police,Anti-social behaviour,-5.4243,50.1844,10
Devon & Cornwall Police,Anti-social behaviour,-5.4237,50.1181,1
Devon & Cornwall Police,Anti-social behaviour,-5.4232,50.176,1
Devon & Cornwall Police,Anti-social behaviour,-5.4231,50.1786,1
Devon & Cornwall Police,Anti-social behaviour,-5.4229,50.1833,3
Devon & Cornwall Police,Anti-social behaviour,-5.4225,50.1819,8
Devon & Cornwall Police,Anti-social behaviour,-5.4217,50.1833,4
Devon & Cornwall Police,Anti-social behaviour,-5.4215,50.1879,3
Devon & Cornwall Police,Anti-social behaviour,-5.4213,50.1808,2
Devon & Cornwall Police,Anti-social behaviour,-5.4211,50.1836,7
Devon & Cornwall Police,Anti-social behaviour,-5.4211,50.1876,2
Devon & Cornwall Police,Anti-social behaviour,-5.4201,50.1842,1
Devon & Cornwall Police,Anti-social behaviour,-5.4199,50.1853,5
Devon & Cornwall Police,Anti-social behaviour,-5.4199,50.187,2
Devon & Cornwall Police,Anti-social behaviour,-5.4188,50.1833,1
Devon & Cornwall Police,Anti-social behaviour,-5.4182,50.1313,1
Devon & Cornwall Police,Anti-social behaviour,-5.4172,50.1856,1
Devon & Cornwall Police,Anti-social behaviour,-5.417,50.1326,2
Devon & Cornwall Police,Anti-social behaviour,-5.417,50.1759,1
Devon & Cornwall Police,Anti-social behaviour,-5.417,50.1886,1
Devon & Cornwall Police,Anti-social behaviour,-5.4158,50.1899,1
Devon & Cornwall Police,Anti-social behaviour,-5.4158,50.1923,3
Devon & Cornwall Police,Anti-social behaviour,-5.4157,50.1858,1
Devon & Cornwall Police,Anti-social behaviour,-5.4151,50.1853,1
Devon & Cornwall Police,Anti-social behaviour,-5.4148,50.1935,1
Devon & Cornwall Police,Anti-social behaviour,-5.414,50.1872,1
Devon & Cornwall Police,Anti-social behaviour,-5.4139,50.1953,4
Devon & Cornwall Police,Anti-social behaviour,-5.4136,50.1889,4
Devon & Cornwall Police,Anti-social behaviour,-5.4134,50.1884,2
Devon & Cornwall Police,Anti-social behaviour,-5.4121,50.1871,1
Devon & Cornwall Police,Anti-social behaviour,-5.4112,50.191,1
Devon & Cornwall Police,Anti-social behaviour,-5.4103,50.186,1
Devon & Cornwall Police,Anti-social behaviour,-5.41,50.1902,1
Devon & Cornwall Police,Anti-social behaviour,-5.4099,50.1896,1
Devon & Cornwall Police,Anti-social behaviour,-5.4098,50.1853,9
Devon & Cornwall Police,Anti-social behaviour,-5.4098,50.1891,2
Devon & Cornwall Police,Anti-social behaviour,-5.4089,50.1924,1
Devon & Cornwall Police,Anti-social behaviour,-5.4085,50.19,2
Devon & Cornwall Police,Anti-social behaviour,-5.4084,50.1914,8
Devon & Cornwall Police,Anti-social behaviour,-5.4082,50.1909,4
